# n	deals	never_end	longest_game_that_ends	never_ending_deals_by_cycle_length (length:deals)
1	1	0	0	
2	2	0	1	
3	6	0	3	
4	24	0	6	
5	120	30	8	6:30
6	720	0	15	
7	5040	2304	15	8:2304
8	40320	0	26	
9	362880	218680	28	20:98503 30:120177
10	3628800	395940	49	60:395940
11	39916800	28223770	41	12:19702562 24:8521208
12	479001600	0	74	
13	6227020800	4880546113	57	42:1475465743 56:2394985450 70:1010094920
14	87178291200	3790165176	461	96:61184620 112:3728980556
15	1307674368000	1095264882758	80	48:723147809952 80:372117072806
16	20922789888000	0		
