# n	cycles	canonical_positions_on_a_cycle	cycles_by_length (length:count)
1	0	0	
3	0	0	
5	2	6	6:2
7	52	144	8:52
9	336	2160	20:144 30:192
11	55592	169772	12:42560 24:13032
13	319680	3024000	42:86400 56:129600 70:103680
15	48304896	369699840	48:42063360 80:6241536
17	3588302592	23977078272	36:2612155392 72:203212800 90:540691200 126:232243200
19	653644195200	3756942833280	40:472119177600 60:79912396800 80:79317273600 140:22295347200
21	6150380544000	130365075456000	110:1316818944000 176:1646023680000 198:1463132160000 264:1097349120000 462:627056640000
23	15224690054209536	97719925839699456	48:9059076885196800 72:3079042302836736 120:2604340795392000 168:482230070784000
25	123652308713472000	2734190182563840000	156:19120211066880000 208:28680316600320000 234:25493614755840000 260:22944253280256000 286:20858412072960000 910:6555500937216000
27	243832544506375372800	2171198081385502848000	84:208809190822772736000 168:18779642183393280000 308:3999600514990080000 420:5865532958638080000 504:2814742923632640000 560:3563835102948556800
29	67660317257038308311040	568790219621718100500480	90:33673011268258794700800 120:29946833580875421450240 210:542861032610856960000 240:1950014538735943680000 330:962977262976368640000 390:584619573580922880000
31	10109467898510237289676800	111562696652218804312473600	96:5353535466019864077926400 160:691463477361652531200000 224:3359970784321811251200000 288:276029017453465436160000 352:281339894002245068390400 416:147129259351198924800000
33	165018213371468788531200000	6976849991114733649920000000	272:27360196043587190784000000 408:36480261391449587712000000 476:31268795478385360896000000 510:29184209113159670169600000 1020:14592104556579835084800000 1326:11224695812753719296000000 1870:7959329758134455500800000 2142:6948621217418969088000000
35	1726945211190155863533520158720	20625387344399446671861242265600	144:1107778888852269466587955200000 180:221084670545540815171092480000 252:72183073645263082998988800000 288:52804302661237536718848000000 360:220998275267381613643400478720 396:39387057507932131565568000000 936:6007571997011148275712000000 1260:6701370713520068571955200000
37	17050567149778004423265484800000	735549759383251247456845824000000	342:2277243837099849063333888000000 456:3415865755649773595000832000000 570:2732692604519818876000665600000 608:2561899316737330196250624000000 646:2411199356929251949412352000000 1064:1463942466707045826428928000000 1520:1024759726694932078500249600000 2470:630621370273804356000153600000 2926:532342715166198482337792000000
39	335840630353495680995675878107119616	3449392113778432298777477307718434816	120:257799042629546803292300791687151616 280:13836005891494563384188592979968000 360:39481613191112526513102127104000000 480:17204645309466711821507887104000000 680:953738945636288657444831232000000 840:4097682647677506162070388736000000 880:1956263998881767261542023168000000 1560:511637739679513903519236096000000
41	296267533521039128811811685152378060800	1554356279012793107597343274026663936000	84:275477870464654061328567648335482060800 210:6047482094677300157404309094400000000 252:8456316598453643682015199887360000000 336:2465725336298196631931886501888000000 420:295950609069496384270872084480000000 546:1980733999055368002031977431040000000 672:369938261336870480338590105600000000 714:446187920000963830891350589440000000 798:311526956915259351864075878400000000 1386:415801280577968962495775244288000000
