# n	block_length_2^v	cycles_of_theorem_3_type	cycles_by_length (length:count)
2	2	0	
4	4	0	
6	2	0	
8	8	0	
10	2	48	60:48
12	4	0	
14	2	25920	112:25920
16	16	0	
18	2	66044160	180:60238080 360:5806080
20	4	14515200	672:14515200
22	2	78382080000	264:52254720000 528:26127360000
24	8	0	
26	2	153127231488000	1092:41385738240000 1456:62078607360000 1820:49662885888000
28	4	2556649090830336	480:2556649090830336
30	2	29092074518707200000	480:29092074518707200000
32	32	0	
34	2	32920915208401059840000	1224:17007114867808665600000 2448:4251778716952166400000 3060:6802845947123466240000 4284:4859175676516761600000
36	4	1861237826094366720000	7280:859032842812784640000 12480:1002204983281582080000
38	2	1033772618064073221734400000	1520:421538349113505585561600000 2280:281025566075670390374400000 3040:210769174556752792780800000 5320:120439528318144453017600000
40	8	229596050715416985600000	7920:229596050715416985600000
42	2	1571684319630444725829107712000000	924:1473358492838906252989562880000000 2772:67890448987525115063304192000000 3696:23227072034172412263137280000000 4620:3203691453262642450268160000000 7392:4004614316578303062835200000000
44	4	77945696819524222019131114782720	1152:71932920013391334713541022187520 13440:6012776806132887305590092595200
46	2	2464657501441109564555400314880000000	2208:895463798101441191274453401600000000 3312:596975865400960794182968934400000000 5520:716371038481152953019562721280000000 7728:255846799457554626078415257600000000
